caption_sentiment,self_label
1,anger/fear
1,fear
3,sadness
0,joy
0,surprise
3,anger
0,joy
3,joy
1,joy
0,surprise
3,anger
3,fear
1,joy
3,joy
3,sadness
3,love
3,sadness
0,love
3,joy
1,love
3,anger
4,surprise
1,joy
1,joy
0,anger
1,sadness
1,surprise
3,love
1,love
1,surprise
0,anger
1,joy
3,anger
0,joy
3,surprise
1,joy
0,joy
1,anger
3,surprise
0,anger
3,surprise
4,fear
3,surprise
3,joy
3,anger
3,surprise
3,anger/surprise
3,anger
0,love
3,joy
0,anger
3,anger
1,anger
3,surprise
3,joy
0,surprise
3,surprise
3,joy/surprise
3,joy
3,joy
3,surprise
0,anger
3,surprise
3,anger/surprise
0,fear
1,joy
3,sadness
0,anger/fear
3,fear
3,sadness
4,anger
0,anger
0,anger
3,anger
3,anger
3,anger
0,anger
4,anger
3,anger
3,joy
3,anger
3,anger
3,anger
3,anger
3,anger
4,anger
3,anger
0,anger
3,anger
1,sadness
1,joy
3,anger
1,anger
4,joy
0,joy
0,love
3,anger
4,anger
0,anger
3,joy
